Time,Measurements,Kalman
0, 10.795, 12.077
0.2, 17.9856, 14.2927
0.4, 9.58915, 13.0099
0.6, 12.4394, 12.8877
0.8, 14.4459, 13.1627
1, 16.1725, 13.6141
1.2, 7.69182, 12.8417
1.4, 15.2409, 13.1185
1.6, 13.9592, 13.2055
1.8, 18.0802, 13.6625
2, 11.1523, 13.4473
2.2, 11.1263, 13.2641
2.4, 12.123, 13.1806
2.6, 10.3825, 12.9898
2.8, 19.2269, 13.3879
3, 14.8822, 13.4776
3.2, 13.131, 13.458
3.4, 15.1133, 13.5466
3.6, 10.055, 13.3691
3.8, 14.8593, 13.4412
4, 13.9624, 13.4653
4.2, 18.8813, 13.7042
4.4, 4.12973, 13.2996
4.6, 8.64253, 13.1108
4.8, 20.3203, 13.3917
5, 15.9573, 13.4879
5.2, 8.38146, 13.3034
5.4, 19.1742, 13.5082
5.6, 8.76072, 13.3481
5.8, 11.3885, 13.2842
6, 19.6108, 13.484
6.2, 8.91864, 13.3443
6.4, 12.4154, 13.3167
6.6, 13.7955, 13.3305
6.8, 9.51533, 13.2235
7, 14.809, 13.2668
7.2, 6.5274, 13.0878
7.4, 12.2704, 13.0667
7.6, 14.514, 13.1032
7.8, 15.6039, 13.1647
8, 21.4362, 13.3632
8.2, 12.0867, 13.3333
8.4, 15.148, 13.3748
8.6, 9.03823, 13.2777
8.8, 10.8284, 13.2241
9, 20.9407, 13.3895
9.2, 20.7832, 13.5446
9.4, 12.8229, 13.5298
9.6, 16.2513, 13.5845
9.8, 12.4823, 13.5628
10, 9.12219, 13.4768
