Xmsaved,Ymsaved,Xhsaved,Yhsaved
283.581, 30.5771, 227.091, 24.4861
284.785, 26.1425, 299.18, 28.883
266.08, 16.1892, 304.889, 22.6497
253.46, 56.3741, 293.101, 43.9349
254.888, 55.6863, 284.523, 54.3168
245.506, 51.5285, 272.972, 57.418
227.67, 92.8002, 256.131, 78.1849
239.065, 94.5578, 249.619, 91.6027
211.419, 73.0806, 232.843, 89.9525
188.673, 108.99, 211.401, 102.873
183.241, 116.545, 194.495, 114.121
169.622, 122.585, 177.814, 123.404
161.254, 116.849, 163.798, 126.215
144.123, 138.894, 148.185, 136.198
110.567, 133.415, 124.513, 139.9
157.474, 147.624, 129.335, 147.37
100.518, 145.64, 110.926, 150.851
89.7462, 164.962, 94.6454, 160.503
107.761, 155.535, 92.41, 162.528
81.9222, 146.504, 81.7934, 159.105
91.5391, 180.053, 79.7862, 170.038
49.6057, 188.288, 62.0784, 180.899
35.8371, 205.683, 44.7063, 195.328
33.8557, 200.511, 32.921, 202.541
